run_name,target_host,n_candidates,mean_target_score,best_target_score,mean_strict_manifold,mean_pll_delta,validated_fraction
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed42,Acinetobacter,50,0.10589311688593188,0.130846440960165,0.9974940496683121,1.3958623083432515,0.0
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed43,Acinetobacter,50,0.101537981154986,0.1155733790968047,0.9980435025691986,1.384018745024999,0.0
kleb_to_acinetobacter_structural_entropy_diversity_novelty_seed44,Acinetobacter,50,0.10760894681178355,0.125518386861323,0.9976882964372635,1.5048242990175882,0.0
kleb_to_acinetobacter_structural_entropy_diversity_seed42,Acinetobacter,50,0.10589311688593188,0.130846440960165,0.9974940496683121,1.3958623083432515,0.0
kleb_to_acinetobacter_structural_entropy_diversity_seed43,Acinetobacter,50,0.101537981154986,0.1155733790968047,0.9980435025691986,1.384018745024999,0.0
kleb_to_acinetobacter_structural_entropy_diversity_seed44,Acinetobacter,50,0.10760894681178355,0.125518386861323,0.9976882964372635,1.5048242990175882,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed42,Acinetobacter,50,0.10589311688593188,0.130846440960165,0.9974940496683121,1.3958623083432515,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed43,Acinetobacter,50,0.101537981154986,0.1155733790968047,0.9980435025691986,1.384018745024999,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_novelty_seed44,Acinetobacter,50,0.10760894681178355,0.125518386861323,0.9976882964372635,1.5048242990175882,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed42,Acinetobacter,50,0.10589311688593188,0.130846440960165,0.9974940496683121,1.3958623083432515,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed43,Acinetobacter,50,0.101537981154986,0.1155733790968047,0.9980435025691986,1.384018745024999,0.0
kleb_to_acinetobacter_structural_plus_entropy_diversity_seed44,Acinetobacter,50,0.10760894681178355,0.125518386861323,0.9976882964372635,1.5048242990175882,0.0
kleb_to_acinetobacter_structural_plus_random_diversity_seed42,Acinetobacter,50,0.19712848382607606,0.2458402369113072,0.9958324038982391,-0.03382448474566144,0.0
kleb_to_acinetobacter_structural_plus_random_diversity_seed43,Acinetobacter,50,0.13716004494735468,0.1590282674398068,0.9981652683019638,0.2660426857074102,0.1
kleb_to_acinetobacter_structural_plus_random_diversity_seed44,Acinetobacter,50,0.1453203746189798,0.2199284293941962,0.9983565533161163,0.1007705509662628,0.2
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed42,Acinetobacter,50,0.19828790221037043,0.2458402369113072,0.9957429391145706,-0.051625326077143374,0.0
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed43,Acinetobacter,50,0.13716004494735468,0.1590282674398068,0.9981652683019638,0.2660426857074102,0.1
kleb_to_acinetobacter_structural_plus_random_no_diversity_seed44,Acinetobacter,50,0.1453203746189798,0.2199284293941962,0.9983565533161163,0.1007705509662628,0.2
kleb_to_acinetobacter_structural_random_diversity_seed42,Acinetobacter,50,0.19712848382607606,0.2458402369113072,0.9958324038982391,-0.03382448474566144,0.0
kleb_to_acinetobacter_structural_random_diversity_seed43,Acinetobacter,50,0.13716004494735468,0.1590282674398068,0.9981652683019638,0.2660426857074102,0.1
kleb_to_acinetobacter_structural_random_diversity_seed44,Acinetobacter,50,0.1453203746189798,0.2199284293941962,0.9983565533161163,0.1007705509662628,0.2
kleb_to_acinetobacter_structural_random_no_diversity_seed42,Acinetobacter,50,0.19828790221037043,0.2458402369113072,0.9957429391145706,-0.051625326077143374,0.0
kleb_to_acinetobacter_structural_random_no_diversity_seed43,Acinetobacter,50,0.13716004494735468,0.1590282674398068,0.9981652683019638,0.2660426857074102,0.1
kleb_to_acinetobacter_structural_random_no_diversity_seed44,Acinetobacter,50,0.1453203746189798,0.2199284293941962,0.9983565533161163,0.1007705509662628,0.2
