epoch,train_loss,train_macro_f1,train_weighted_f1,train_acc,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,1.9918538426596022,0.0,0.0,0.0,1.882665991783142,0.07518796992481203,0.18796992481203006,0.35714285714285715
2,1.8813162228417775,0.07394957983193277,0.180765639589169,0.3492063492063492,1.8082550764083862,0.07518796992481203,0.18796992481203006,0.35714285714285715
3,1.8044433707282657,0.07394957983193277,0.180765639589169,0.3492063492063492,1.7234764099121094,0.07518796992481203,0.18796992481203006,0.35714285714285715
4,1.739357354148986,0.07394957983193277,0.180765639589169,0.3492063492063492,1.6502214670181274,0.08403361344537816,0.21008403361344538,0.35714285714285715
5,1.6652131648290724,0.11181882519462137,0.2521708848672755,0.3888888888888889,1.612824559211731,0.08403361344537816,0.21008403361344538,0.35714285714285715
6,1.6312088398706346,0.12973820962839494,0.28471636652830884,0.4126984126984127,1.6120080947875977,0.08403361344537816,0.21008403361344538,0.35714285714285715
7,1.609037679339212,0.12694601650183882,0.27921433123513956,0.40476190476190477,1.6191415786743164,0.08403361344537816,0.21008403361344538,0.35714285714285715
8,1.5954409497124808,0.13225563909774435,0.2890058479532164,0.4126984126984127,1.6152600049972534,0.08403361344537816,0.21008403361344538,0.35714285714285715
9,1.5415954551999531,0.13225563909774435,0.2890058479532164,0.4126984126984127,1.6063833236694336,0.08403361344537816,0.21008403361344538,0.35714285714285715
10,1.4920895269938879,0.22235224235224235,0.3383018183018183,0.4444444444444444,1.6028724908828735,0.08403361344537816,0.21008403361344538,0.35714285714285715
11,1.4617853467426603,0.24221195327446046,0.3563126925047036,0.4603174603174603,1.6042333841323853,0.08403361344537816,0.21008403361344538,0.35714285714285715
12,1.4275692890560816,0.24757032762613415,0.3608996747782291,0.46825396825396826,1.6034294366836548,0.08403361344537816,0.21008403361344538,0.35714285714285715
13,1.3883365733282906,0.23704516766368475,0.36590990859142997,0.47619047619047616,1.5993270874023438,0.13010204081632654,0.30484693877551017,0.42857142857142855
14,1.3518453552609397,0.2345415778251599,0.3737773716451755,0.48412698412698413,1.594643473625183,0.13010204081632654,0.30484693877551017,0.42857142857142855
15,1.3206510108614724,0.23794406651549507,0.37415805828504245,0.48412698412698413,1.5932573080062866,0.13010204081632654,0.30484693877551017,0.42857142857142855
16,1.2645574486444866,0.24616503089785535,0.3906256310836464,0.5,1.591833472251892,0.13010204081632654,0.30484693877551017,0.42857142857142855
17,1.2380998626587882,0.24518849206349208,0.39035493827160495,0.5,1.5862077474594116,0.13010204081632654,0.30484693877551017,0.42857142857142855
18,1.208760486708747,0.2621671619467459,0.42890161529092513,0.5396825396825397,1.5725371837615967,0.16666666666666666,0.38095238095238093,0.5
19,1.1446136160502358,0.26908220915484843,0.4434707969816929,0.5555555555555556,1.550252914428711,0.1956043956043956,0.4461538461538462,0.5714285714285714
20,1.1179058722087316,0.27248606805257053,0.45071883988140143,0.5634920634920635,1.5213946104049683,0.1956043956043956,0.4461538461538462,0.5714285714285714
21,1.0806861396819827,0.35654072439786727,0.5085667299953014,0.5952380952380952,1.4914295673370361,0.1956043956043956,0.4461538461538462,0.5714285714285714
22,1.0358504700282263,0.43534416266354936,0.569324480797986,0.6428571428571429,1.4680379629135132,0.1956043956043956,0.4461538461538462,0.5714285714285714
23,1.0026432332538424,0.5118560467665327,0.6349453307893206,0.6984126984126984,1.4511635303497314,0.20476190476190476,0.46904761904761905,0.5714285714285714
24,0.9542613937741234,0.46406226409396983,0.6166383998819002,0.6904761904761905,1.4384773969650269,0.20476190476190476,0.46904761904761905,0.5714285714285714
25,0.9424131635635619,0.5425427785517808,0.6481610481985576,0.7063492063492064,1.4276258945465088,0.20476190476190476,0.46904761904761905,0.5714285714285714
26,0.8827839711355785,0.5565875472996216,0.6717051342954335,0.7222222222222222,1.4185093641281128,0.20476190476190476,0.46904761904761905,0.5714285714285714
27,0.8695648000353858,0.526880831316362,0.6523454968485921,0.7063492063492064,1.412049651145935,0.20476190476190476,0.46904761904761905,0.5714285714285714
28,0.8066827058792114,0.5439814700898444,0.6765948428510005,0.7380952380952381,1.4105688333511353,0.20476190476190476,0.46904761904761905,0.5714285714285714
29,0.7969278825653924,0.5963502720977804,0.698554964169582,0.746031746031746,1.4120298624038696,0.23376623376623376,0.5324675324675324,0.6428571428571429
30,0.7799396846029494,0.6431819215980707,0.7224753966989992,0.7698412698412699,1.4112365245819092,0.20476190476190476,0.46904761904761905,0.5714285714285714
