epoch,train_loss,train_macro_f1,train_weighted_f1,train_acc,val_loss,val_macro_f1,val_weighted_f1,val_acc
1,2.381954790165358,0.12031199588423538,0.19188575782551517,0.2755453501722158,1.9757508248458673,0.034161490683229816,0.03247450348899624,0.13580246913580246
2,1.9974670647844883,0.0001613293538759377,0.00021306835064135516,0.0003827018752391887,1.9199297763683179,0.04645297943108669,0.0496572869251351,0.14320987654320988
3,1.9426173334417332,0.015681774717919296,0.02705451221905097,0.04707233065442021,1.8519917240849249,0.04810794954532121,0.06818262478768981,0.20246913580246914
4,1.8984636158218704,0.017263703064307294,0.02978368672556345,0.053578262533486416,1.7952341421150866,0.043466584944347735,0.04520358206803571,0.14074074074074075
5,1.8685996861828271,0.01041018387553041,0.01795985798350214,0.035208572522005356,1.7765210157559241,0.048346011584897756,0.05475191035360389,0.14320987654320988
6,1.838247108860943,0.024996044929599746,0.04312367797268873,0.09070034443168772,1.7588144997019826,0.03853045303665702,0.038560081764852164,0.1382716049382716
7,1.821169137589739,0.025766789416310866,0.04433081981700593,0.09414466130884042,1.7472028979548702,0.0725033936695085,0.10307733056304128,0.17777777777777778
8,1.8063717581876337,0.03456189623216007,0.05923106836557028,0.12705702257941065,1.736378839869558,0.08338663877951931,0.11996472042232803,0.19012345679012346
9,1.7946673211492983,0.03648534533280318,0.06093461852648224,0.12208189820130119,1.7281417146141147,0.08236568096626407,0.12096490659755967,0.19753086419753085
10,1.7810915710822952,0.0442107449432463,0.07328915471273717,0.13968618446230385,1.715426688135406,0.10076235551571225,0.14860815043145326,0.19753086419753085
11,1.7651251639801562,0.05010215764458718,0.08164287836547922,0.15078453884424034,1.7071014639772015,0.0910318593894304,0.1371399940930484,0.20246913580246914
12,1.7576250747114226,0.0656870301812756,0.10772463266151734,0.17719096823574434,1.6988429516921808,0.07643292912555547,0.09406691419395093,0.19012345679012346
13,1.752033622703742,0.04102538122333766,0.06108448755509313,0.08878683505549177,1.6769982231987848,0.11854233218711215,0.1908349026993095,0.28888888888888886
14,1.7269309058848168,0.13774066817671685,0.17307120211460147,0.2529659395331037,1.6631810856454166,0.19836625309058184,0.19976299017693352,0.23950617283950618
15,1.72036117417941,0.18524965638976493,0.16868256897018802,0.23115193264446995,1.6547824076664301,0.22036904761904763,0.22303600823045266,0.30617283950617286
16,1.697655297265489,0.20562273111305138,0.19821069596801869,0.2831993876769996,1.6335238338988505,0.2299779415898591,0.23986665169077528,0.3432098765432099
17,1.6814128733940432,0.22533208165074806,0.22717087991594287,0.3176425564485266,1.6151348726249035,0.23440606376495632,0.23985032635078346,0.32592592592592595
18,1.671536605886422,0.21787381158167674,0.21632743494690052,0.3038652889399158,1.6018436555509215,0.23349818601976713,0.24141546353167334,0.3333333333333333
19,1.6460949266454155,0.22460698596780698,0.2286523962344931,0.3149636433218523,1.5864924274844887,0.23681240223333064,0.24440878146184553,0.32592592592592595
20,1.6443884574814953,0.2178481096604863,0.21944801106976586,0.3011863758132415,1.574593789489181,0.2425182701621827,0.25081399757000983,0.33827160493827163
21,1.624149137149129,0.230143993492778,0.23819315719225134,0.32261768082663606,1.5577486132398064,0.2441737006954398,0.2534791325451551,0.34074074074074073
22,1.6187615635474433,0.2256027434663436,0.23432696612288922,0.3203214695752009,1.5464692404240739,0.24126440395990909,0.2524592682485689,0.34814814814814815
23,1.5981709583937962,0.23801522770320188,0.24652707214242298,0.33295063145809417,1.5383310762452491,0.24563036141460617,0.2640850790565849,0.34814814814814815
24,1.5909961449931145,0.23528481130321338,0.24201668335336318,0.32644469957902794,1.5352994918823242,0.24088087872467018,0.25252280250816966,0.32592592592592595
25,1.5817083301692003,0.2278594932193461,0.23340057562695826,0.3107539226942212,1.519752699357492,0.24601894932564047,0.2643589875245526,0.36049382716049383
26,1.577677574141291,0.23251612663970983,0.2419609954868528,0.32338308457711445,1.5109478339736844,0.2404317168638095,0.2516063892843582,0.33827160493827163
27,1.56465850524687,0.23304443888584572,0.2453544181889014,0.32606199770378874,1.4980497666347175,0.24203151394065067,0.253980616989085,0.33827160493827163
28,1.553619753228628,0.24311981809857203,0.2592569300147111,0.3340987370838117,1.4887870182225733,0.2555089589382984,0.2707995137266777,0.35555555555555557
29,1.5439785955694048,0.24168437703291343,0.25840546399232794,0.3344814389590509,1.4803554970541117,0.26358769489487877,0.2734292978209351,0.3432098765432099
30,1.5354230296005018,0.24085555735782552,0.2537077149774347,0.32606199770378874,1.4708904029410563,0.27409921225107453,0.29163213409684535,0.37777777777777777
