dataset_name,model_name,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,weighted_f1_mean,weighted_f1_std,n_total,n_train,n_val,n_test
broad,linear_probe,0.6669853668232327,0.050406764069883606,0.6725518917357056,0.010609396042408216,0.6708621970733177,0.05133542820156988,3396.0,2674.6666666666665,386.0,335.3333333333333
broad,mlp,0.35576586960334805,0.017798398793939022,0.29318951181027425,0.0329245412231082,0.32064361438801886,0.05171486912606356,3396.0,2674.6666666666665,386.0,335.3333333333333
strict,linear_probe,0.7428571428571429,0.08689660757568886,0.595839345839346,0.10112105669870884,0.6894660894660894,0.08257032801764405,154.0,125.0,14.666666666666666,14.333333333333334
strict,mlp,0.6507936507936508,0.013746434980705326,0.3777777777777778,0.052236452926680436,0.5625925925925926,0.01932100979072173,154.0,125.0,14.666666666666666,14.333333333333334
