target_host,n_rows,n_unique_sequences,n_validated_original,n_validated_patched,mean_target_score,best_target_score,mean_actual_seq_dist,median_actual_seq_dist,mean_pll_delta,best_corrected_rank_score
Acinetobacter,1200,302,60,970,0.13253810957287654,0.2458402369113072,9.225,9.0,0.7681322806080182,0.9040889506451071
Enterobacter,1500,317,242,1344,0.5839722826347927,0.6450793294945086,10.038666666666666,10.0,1.0020615321795145,0.8791594936022784
Pseudomonas,2100,968,0,1472,0.2898581870801756,0.4920843020720907,12.65904761904762,11.0,0.9939094275497787,1.1825338259484213
